l2bn,l2ts,batchTimestamp,delay,batchPosterAddress,batchNumber,batchDataGas,l1BaseFeeWei
160378013,1702652668,1702652339,-329,0xad8663715b08f41a3aec47cc,443640,1604112,58593421913
160378015,1702652669,1702652339,-330,0xad8663715b08f41a3aec47cc,443641,1583860,58593421913
160378016,1702652669,1702652339,-330,0xad8663715b08f41a3aec47cc,443642,1599870,58593421913
160378017,1702652669,1702652339,-330,0xad8663715b08f41a3aec47cc,443643,1600958,58593421913
160378018,1702652669,1702652339,-330,0xad8663715b08f41a3aec47cc,443644,1604300,58593421913
160378019,1702652669,1702652339,-330,0xad8663715b08f41a3aec47cc,443645,1606702,58593421913
160378020,1702652669,1702652339,-330,0xad8663715b08f41a3aec47cc,443646,1583456,58593421913
160378021,1702652669,1702652339,-330,0xad8663715b08f41a3aec47cc,443647,1588990,58593421913
160378022,1702652669,1702652339,-330,0xad8663715b08f41a3aec47cc,443648,1567726,58593421913
160378023,1702652669,1702652351,-318,0xad8663715b08f41a3aec47cc,443649,1563122,65689189309
160378024,1702652669,1702652351,-318,0xad8663715b08f41a3aec47cc,443650,1569170,65689189309
160378025,1702652669,1702652351,-318,0xad8663715b08f41a3aec47cc,443651,1580176,65689189309
160378026,1702652669,1702652351,-318,0xad8663715b08f41a3aec47cc,443652,1604210,65689189309
160378027,1702652669,1702652351,-318,0xad8663715b08f41a3aec47cc,443653,1573490,65689189309
160378028,1702652669,1702652351,-318,0xad8663715b08f41a3aec47cc,443654,1563748,65689189309
160378029,1702652669,1702652351,-318,0xad8663715b08f41a3aec47cc,443655,1595110,65689189309
160378030,1702652669,1702652351,-318,0xad8663715b08f41a3aec47cc,443656,1578862,65689189309
160378032,1702652669,1702652375,-294,0xad8663715b08f41a3aec47cc,443657,1581672,68213152478
160378033,1702652669,1702652375,-294,0xad8663715b08f41a3aec47cc,443658,1590338,68213152478
160378034,1702652669,1702652375,-294,0xad8663715b08f41a3aec47cc,443659,1601650,68213152478
160379465,1702653028,1702652399,-629,0xad8663715b08f41a3aec47cc,443660,1570824,66637908991
160379466,1702653028,1702652399,-629,0xad8663715b08f41a3aec47cc,443661,1571628,66637908991
160379467,1702653028,1702652399,-629,0xad8663715b08f41a3aec47cc,443662,1606866,66637908991
160379468,1702653028,1702652399,-629,0xad8663715b08f41a3aec47cc,443663,1587196,66637908991
160379469,1702653028,1702652399,-629,0xad8663715b08f41a3aec47cc,443664,1567790,66637908991
160379470,1702653028,1702652411,-617,0xad8663715b08f41a3aec47cc,443665,1560034,74966692471
160379471,1702653028,1702652411,-617,0xad8663715b08f41a3aec47cc,443666,1559034,74966692471
160379472,1702653028,1702652411,-617,0xad8663715b08f41a3aec47cc,443667,1587892,74966692471
160379473,1702653028,1702652435,-593,0xad8663715b08f41a3aec47cc,443668,1578118,80001810379
160379474,1702653028,1702652435,-593,0xad8663715b08f41a3aec47cc,443669,1568544,80001810379
160379475,1702653028,1702652435,-593,0xad8663715b08f41a3aec47cc,443670,1572832,80001810379
160379476,1702653028,1702652435,-593,0xad8663715b08f41a3aec47cc,443671,1567412,80001810379
160379477,1702653028,1702652435,-593,0xad8663715b08f41a3aec47cc,443672,1585402,80001810379
160379478,1702653028,1702652435,-593,0xad8663715b08f41a3aec47cc,443673,1590518,80001810379
160379479,1702653028,1702652435,-593,0xad8663715b08f41a3aec47cc,443674,1609270,80001810379
160379480,1702653028,1702652459,-569,0xad8663715b08f41a3aec47cc,443675,1582058,86722411365
160379481,1702653028,1702652459,-569,0xad8663715b08f41a3aec47cc,443676,1559356,86722411365
160379483,1702653029,1702652459,-570,0xad8663715b08f41a3aec47cc,443677,1573860,86722411365
160379484,1702653029,1702652459,-570,0xad8663715b08f41a3aec47cc,443678,1605708,86722411365
160379485,1702653029,1702652459,-570,0xad8663715b08f41a3aec47cc,443679,1595938,86722411365
160379486,1702653029,1702652459,-570,0xad8663715b08f41a3aec47cc,443680,1593898,86722411365
160379487,1702653029,1702652459,-570,0xad8663715b08f41a3aec47cc,443681,1583692,86722411365
160379488,1702653029,1702652471,-558,0xad8663715b08f41a3aec47cc,443682,1595538,90155636723
160379489,1702653029,1702652471,-558,0xad8663715b08f41a3aec47cc,443683,1597662,90155636723
160379490,1702653029,1702652471,-558,0xad8663715b08f41a3aec47cc,443684,1578392,90155636723
160379491,1702653029,1702652471,-558,0xad8663715b08f41a3aec47cc,443685,1589008,90155636723
160379492,1702653029,1702652471,-558,0xad8663715b08f41a3aec47cc,443686,1592538,90155636723
160379493,1702653029,1702652471,-558,0xad8663715b08f41a3aec47cc,443687,1592990,90155636723
160379494,1702653029,1702652471,-558,0xad8663715b08f41a3aec47cc,443688,1557330,90155636723
160379495,1702653029,1702652483,-546,0xad8663715b08f41a3aec47cc,443689,1593468,98655597303
160379496,1702653029,1702652483,-546,0xad8663715b08f41a3aec47cc,443690,1588684,98655597303
160379497,1702653029,1702652483,-546,0xad8663715b08f41a3aec47cc,443691,1569586,98655597303
160379498,1702653029,1702652483,-546,0xad8663715b08f41a3aec47cc,443692,1617172,98655597303
160379499,1702653029,1702652483,-546,0xad8663715b08f41a3aec47cc,443693,1583852,98655597303
160379500,1702653029,1702652483,-546,0xad8663715b08f41a3aec47cc,443694,1605340,98655597303
160379501,1702653029,1702652507,-522,0xad8663715b08f41a3aec47cc,443695,1601582,94976829498
160379502,1702653029,1702652507,-522,0xad8663715b08f41a3aec47cc,443696,1598058,94976829498
160379503,1702653029,1702652507,-522,0xad8663715b08f41a3aec47cc,443697,1607852,94976829498
160379504,1702653029,1702652507,-522,0xad8663715b08f41a3aec47cc,443698,1605860,94976829498
